player_name,position,school,height,weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,year,player_id,column_a,draft_round,draft_pick,tm,hof,position_standard,first4av,age,to,ap1,pb,st,carav,drav,g,cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_tds,rec,rec_yds,rec_tds,tkl,def_int,sk
Will Allen,CB,Syracuse,5-10,192.0,4.44,39.5,14.0,121.0,6.78,3.9,2001,2001ALLENWILLSYR,2001Will Allen,1.0,22.0,NYG,No,DB,31.0,23.0,2012.0,0.0,0.0,8.0,45.0,25.0,140.0,,,,,,,,,,,,455.0,15.0,5
Scotty Anderson,WR,Grambling State,6-2,184.0,4.57,34.5,,115.0,,,2001,2001ANDERSONSCOTTYGRA,2001Scotty Anderson,5.0,148.0,DET,No,WR,8.0,21.0,2003.0,0.0,0.0,0.0,8.0,8.0,34.0,,,,,,,,,54.0,858.0,4.0,3.0,,
Adam Archuleta,S,Arizona State,6-0,211.0,4.46,,31.0,,,,2001,2001ARCHULETAADAMARI,2001Adam Archuleta,1.0,20.0,STL,No,DB,29.0,23.0,2007.0,0.0,0.0,6.0,32.0,26.0,103.0,,,,,,,,,,,,452.0,4.0,18
Tom Ashworth,OG,Colorado,6-6,293.0,5.11,33.5,20.0,109.0,7.4,4.3,2001,2001ASHWORTHTOMCOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billy Baber,TE,Virginia,6-4,255.0,4.76,33.0,22.0,106.0,7.12,4.19,2001,2001BABERBILLYVIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Backus,OT,Michigan,6-5,310.0,5.37,27.0,25.0,99.0,8.27,4.67,2001,2001BACKUSJEFFMIC,2001Jeff Backus,1.0,18.0,DET,No,T,31.0,24.0,2012.0,0.0,0.0,12.0,63.0,63.0,191.0,,,,,,,,,,,,6.0,,
Rodney Bailey,DE,Ohio State,6-3,283.0,5.1,,,,,,2001,2001BAILEYRODNEYOHI,2001Rodney Bailey,6.0,181.0,PIT,No,DE,6.0,21.0,2007.0,0.0,0.0,0.0,7.0,6.0,84.0,,,,,,,,,,,,51.0,,9.5
Alex Bannister,WR,East. Kentucky,6-5,201.0,4.47,30.5,,110.0,,,2001,2001BANNISTERALEXEAS,2001Alex Bannister,5.0,140.0,SEA,No,WR,1.0,22.0,2006.0,0.0,1.0,0.0,1.0,1.0,59.0,,,,,,,,,9.0,121.0,1.0,44.0,,
Kevan Barlow,RB,Pittsburgh,6-1,235.0,4.56,,,,,,2001,2001BARLOWKEVANPIT,2001Kevan Barlow,3.0,80.0,SFO,No,RB,36.0,22.0,2006.0,0.0,0.0,2.0,36.0,33.0,84.0,,,,,,1022.0,3984.0,30.0,144.0,1164.0,3.0,3.0,,
Idrees Bashir,S,Memphis,6-2,206.0,4.56,40.0,22.0,126.0,7.14,4.2,2001,2001BASHIRIDREESMEM,2001Idrees Bashir,2.0,37.0,IND,No,DB,19.0,22.0,2007.0,0.0,0.0,4.0,18.0,17.0,71.0,,,,,,,,,,,,179.0,6.0,
Gary Baxter,CB,Baylor,6-2,204.0,4.53,37.5,,122.0,7.39,4.21,2001,2001BAXTERGARYBAY,2001Gary Baxter,2.0,62.0,BAL,No,DB,20.0,22.0,2006.0,0.0,0.0,3.0,20.0,17.0,62.0,,,,,,,,,,,,249.0,8.0,3
Jonathan Beasley,QB,Kansas State,6-0,227.0,4.85,29.5,,102.0,7.55,4.38,2001,2001BEASLEYJONATHANKAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monty Beisel,DE,Kansas State,6-4,270.0,4.83,34.5,25.0,110.0,7.32,4.28,2001,2001BEISELMONTYKAN,2001Monty Beisel,4.0,107.0,KAN,No,LB,9.0,23.0,2009.0,0.0,0.0,0.0,11.0,5.0,119.0,,,,,,,,,,,,191.0,2.0,4.5
Kendrell Bell,ILB,Georgia,6-1,234.0,4.64,38.5,24.0,124.0,7.25,4.5,2001,2001BELLKENDRELLGEO,2001Kendrell Bell,2.0,39.0,PIT,No,LB,37.0,23.0,2007.0,0.0,1.0,4.0,41.0,29.0,90.0,,,,,,,,,,,,274.0,1.0,20.5
Marcus Bell,DT,Memphis,6-1,319.0,5.32,,17.0,98.0,8.07,4.71,2001,2001BELLMARCUSMEM,2001Marcus Bell,4.0,123.0,ARI,No,DT,11.0,22.0,2006.0,0.0,0.0,1.0,13.0,8.0,86.0,,,,,,,,,,,,116.0,,6.5
Michael Bennett,RB,Wisconsin,5-9,207.0,4.38,39.5,13.0,130.0,,,2001,2001BENNETTMICHAELWIS,2001Michael Bennett,1.0,27.0,MIN,No,RB,32.0,23.0,2010.0,0.0,1.0,2.0,34.0,29.0,109.0,,,,,,842.0,3703.0,13.0,159.0,1294.0,6.0,15.0,,
Eddie Berlin,WR,New Mexico,5-11,191.0,4.43,39.5,,122.0,6.78,4.08,2001,2001BERLINEDDIENEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cory Bird,S,Virginia Tech,5-10,217.0,4.6,,22.0,,,,2001,2001BIRDCORYVIR,2001Cory Bird,3.0,91.0,IND,No,DB,6.0,23.0,2004.0,0.0,0.0,0.0,6.0,6.0,45.0,,,,,,,,,,,,88.0,,0.5
Darvell Bivens,FB,NW State (LA),5-10,255.0,4.97,33.5,32.0,108.0,7.81,4.38,2001,2001BIVENSDARVELLNW ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randy Black,S,UNLV,6-0,205.0,4.74,35.5,,115.0,7.14,4.2,2001,2001BLACKRANDYUNL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harold Blackmon,CB,Northwestern,5-11,210.0,4.54,37.0,17.0,121.0,7.03,4.28,2001,2001BLACKMONHAROLDNOR,2001Harold Blackmon,7.0,210.0,SEA,No,DB,1.0,23.0,2002.0,0.0,0.0,0.0,1.0,1.0,9.0,,,,,,,,,,,,1.0,,
Willie Blade,DT,Mississippi State,6-3,316.0,4.93,,,,,,2001,2001BLADEWILLIEMIS,2001Willie Blade,3.0,93.0,DAL,No,DT,8.0,22.0,2004.0,0.0,0.0,1.0,8.0,7.0,20.0,,,,,,,,,,,,12.0,,1
Al Blades,S,Miami (FL),6-1,209.0,4.56,,,,,,2001,2001BLADESALMIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Blaylock,RB,Stephen F. Austin,5-10,194.0,4.36,35.5,18.0,119.0,7.05,4.09,2001,2001BLAYLOCKDERRICKSTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Bobo,OG,TCU,6-4,290.0,5.28,31.0,19.0,106.0,7.81,4.89,2001,2001BOBODAVIDTCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fred Booker,CB,LSU,5-9,193.0,4.65,,,,,,2001,2001BOOKERFREDLSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Booty,QB,LSU,6-2,221.0,4.9,29.5,,105.0,7.54,4.48,2001,2001BOOTYJOSHLSU,2001Josh Booty,6.0,172.0,SEA,No,QB,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Jarvis Borum,OG,North Carolina State,6-7,332.0,5.05,30.5,25.0,107.0,8.08,4.83,2001,2001BORUMJARVISNOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Vanden Bosch,DE,Nebraska,6-4,270.0,4.75,36.5,26.0,119.0,6.82,4.08,2001,2001VANDENKYLENEB,2001Kyle Vanden Bosch,2.0,34.0,ARI,No,DE,20.0,22.0,2012.0,0.0,3.0,9.0,59.0,8.0,152.0,,,,,,,,,,,,332.0,,58
James Boyd,S,Penn State,5-11,207.0,4.59,32.5,,117.0,7.29,4.24,2001,2001BOYDJAMESPEN,2001James Boyd,3.0,94.0,JAX,No,DB,2.0,23.0,2002.0,0.0,0.0,0.0,2.0,2.0,26.0,,,,,,,,,,,,11.0,,
Roylin Bradley,OLB,Texas A&M,6-1,243.0,4.67,34.0,19.0,116.0,7.16,4.28,2001,2001BRADLEYROYLINTEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Brees,QB,Purdue,6-0,213.0,4.83,32.0,,105.0,7.09,4.21,2001,2001BREESDREWPUR,2001Drew Brees,2.0,32.0,SDG,No,QB,49.0,22.0,2016.0,1.0,9.0,15.0,147.0,32.0,227.0,5663.0,8505.0,64180.0,454.0,213.0,399.0,722.0,15.0,7.0,73.0,1.0,13.0,,
Sean Brewer,TE,San Jose State,6-4,255.0,4.73,36.0,14.0,117.0,7.37,4.18,2001,2001BREWERSEANSAN,2001Sean Brewer,3.0,66.0,CIN,No,TE,0.0,23.0,2003.0,0.0,0.0,0.0,0.0,0.0,12.0,,,,,,,,,,,,1.0,,
Chris Brown,OT,Georgia Tech,6-5,329.0,5.33,,30.0,,,,2001,2001BROWNCHRISGEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corey Brown,WR,Tulsa,6-0,202.0,4.63,39.5,,126.0,,,2001,2001BROWNCOREYTUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Bryant,CB,Jackson State,5-11,190.0,4.65,37.5,10.0,117.0,7.5,4.15,2001,2001BRYANTKENNYJAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Correll Buckhalter,RB,Nebraska,6-0,226.0,4.53,40.0,11.0,123.0,7.08,4.06,2001,2001BUCKHALTERCORRELLNEB,2001Correll Buckhalter,4.0,121.0,PHI,No,RB,11.0,22.0,2010.0,0.0,0.0,0.0,28.0,20.0,103.0,,,,,,655.0,2944.0,21.0,144.0,1410.0,6.0,15.0,,
Derrick Burgess,DE,Mississippi,6-2,264.0,4.92,40.0,24.0,125.0,7.85,,2001,2001BURGESSDERRICKMIS,2001Derrick Burgess,3.0,63.0,PHI,No,DE,22.0,23.0,2010.0,0.0,2.0,5.0,42.0,9.0,102.0,,,,,,,,,,,,215.0,,52
Adrian Burnette,WR,Tulane,5-10,191.0,4.63,,,,,,2001,2001BURNETTEADRIANTUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jerametrius Butler,CB,Kansas State,5-10,173.0,4.57,36.0,11.0,121.0,7.22,4.4,2001,2001BUTLERJERAMETRIUSKAN,2001Jerametrius Butler,5.0,145.0,STL,No,DB,16.0,22.0,2007.0,0.0,0.0,2.0,17.0,16.0,70.0,,,,,,,,,,,,172.0,9.0,
Cecil Caldwell,DT,South Carolina,6-1,268.0,4.93,,,,,,2001,2001CALDWELLCECILSOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Capel,WR,Florida,5-11,177.0,4.39,36.5,,126.0,,,2001,2001CAPELJOHNFLO,2001John Capel,7.0,208.0,CHI,No,WR,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
Terrence Carroll,S,Oregon State,6-0,212.0,4.63,,,,,,2001,2001CARROLLTERRENCEORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elliott Carson,TE,Vanderbilt,6-4,246.0,4.9,36.0,16.0,115.0,7.52,4.21,2001,2001CARSONELLIOTTVAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Carswell,S,Clemson,6-0,214.0,4.59,34.0,21.0,106.0,7.14,4.18,2001,2001CARSWELLROBERTCLE,2001Robert Carswell,7.0,244.0,SDG,No,DB,1.0,22.0,2002.0,0.0,0.0,0.0,1.0,1.0,18.0,,,,,,,,,,,,14.0,,
Andre Carter,DE,California,6-4,249.0,4.84,38.5,20.0,132.0,,4.24,2001,2001CARTERANDRECAL,2001Andre Carter,1.0,7.0,SFO,No,DE,29.0,22.0,2013.0,0.0,1.0,9.0,60.0,22.0,184.0,,,,,,,,,,,,387.0,,80.5
Quincy Carter,QB,Georgia,6-2,225.0,4.58,35.5,,113.0,7.12,4.12,2001,2001CARTERQUINCYGEO,2001Quincy Carter,2.0,53.0,DAL,No,QB,18.0,23.0,2004.0,0.0,0.0,2.0,17.0,16.0,38.0,542.0,960.0,6337.0,32.0,37.0,152.0,518.0,3.0,,,,1.0,,
