Player,Pos,School,AP Ranking,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Year,player_id,year,rnd,pick,tm,hof,pos,position_standard,first4av,age,to,ap1,pb,st,carav,drav,g,cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_tds,rec,rec_yds,rec_tds,tkl,def_int,sk,college_univ
Plaxico Burress,WR,Michigan State,,5-Jun,231,4.59,33,,115,,,2000,BurrPl00,2000,1,8,PIT,No,WR,WR,39,23,2012,0,0,9,69,31,148,,,,,,1,-7,0,553,8499,64,13,,,Michigan St.
Trung Canidate,RB,Arizona,,11-May,193,4.41,,18,,,,2000,CaniTr00,2000,1,31,STL,No,RB,RB,11,23,2003,0,0,1,11,6,46,,,,,,240,1095,7,32,260,1,11,,,Arizona
Cooper Carlisle,OG,Florida,,5-Jun,297,5.16,31,28,100,7.82,4.48,2000,CarlCo20,2000,4,112,DEN,No,G,G,7,23,2012,0,0,8,53,21,190,,,,,,,,,1,6,1,4,,,Florida
Giovanni Carmazzi,QB,Hofstra,26,3-Jun,224,4.74,36.5,,119,6.94,4.23,2000,,2000,3,65,SFO,No,QB,QB,0,,,0,0,0,,,,,,,,,,,,,,,,,,Hofstra
Leonardo Carson,DE,Auburn,,1-Jun,283,5.06,28,22,106,7.82,4.75,2000,CarsLe20,2000,4,113,SDG,No,DT,DT,18,23,2004,0,0,2,17,10,64,,,,,,,,,,,,92,,8.5,Auburn
Tyrone Carter,S,Minnesota,,8-May,190,4.5,41,16,121,6.75,4.19,2000,CartTy20,2000,4,118,MIN,No,DB,DB,14,24,2010,0,0,2,26,6,158,,,,,,,,,,,,362,9,5.5,Minnesota
Doug Chapman,RB,Marshall,,10-May,215,4.56,38.5,16,128,6.84,4.2,2000,ChapDo00,2000,3,88,MIN,No,RB,RB,3,23,2003,0,0,0,3,3,26,,,,,,90,317,0,17,143,1,2,,,Marshall
Ike Charlton,CB,Virginia Tech,,11-May,205,4.47,,16,126,,,2000,CharIk20,2000,2,52,SEA,No,DB,DB,5,22,2003,0,0,0,5,3,53,,,,,,,,,,,,72,2,2,Virginia Tech
Joey Chustz,OT,Louisiana Tech,,7-Jun,304,5.08,31,28,103,7.65,4.65,2000,,2000,4,123,JAX,No,T,T,0,,,0,0,0,,,,,,,,,,,,,,,,,,Louisiana Tech
Kendrick Clancy,DT,Mississippi,,1-Jun,283,5.25,27.5,25,108,7.98,4.65,2000,ClanKe20,2000,3,72,PIT,No,DT,DT,6,22,2009,0,0,3,23,5,109,,,,,,,,,,,,114,1,5.5,Mississippi
Travis Claridge,OG,USC,,5-Jun,303,5.15,31.5,29,100,7.77,4.86,2000,ClarTr20,2000,2,37,ATL,No,G,G,24,22,2003,0,0,3,23,23,52,,,,,,,,,,,,,,,USC
Danny Clark,ILB,Illinois,,2-Jun,245,4.75,,20,,,,2000,ClarDa21,2000,7,245,JAX,No,LB,LB,22,23,2010,0,0,8,40,13,168,,,,,,,,,,,,492,2,7,Illinois
Chad Clifton,OT,Tennessee,,5-Jun,334,5.05,30.5,24,102,7.58,4.73,2000,ClifCh20,2000,2,44,GNB,No,T,T,34,24,2011,0,2,10,72,72,165,,,,,,,,,,,,2,,,Tennessee
Chris Cole,WR,Texas A&M,,Jun-00,191,4.37,37.5,,125,6.76,4.09,2000,ColeCh00,2000,3,70,DEN,No,WR,WR,1,22,2003,0,0,0,1,1,35,,,,,,2,8,0,12,164,0,9,,,Texas A&M
Cosey Coleman,OG,Tennessee,,4-Jun,322,5.4,28,,101,8.15,4.97,2000,ColeCo21,2000,2,51,TAM,No,G,G,28,21,2006,0,0,6,34,25,100,,,,,,,,,1,5,0,,,,Tennessee
Laveranues Coles,WR,Florida State,,11-May,192,4.41,34,,115,6.89,4.39,2000,ColeLa00,2000,3,78,NYJ,No,WR,WR,44,22,2009,0,1,9,66,48,153,,,,,,37,231,0,674,8609,49,30,,,Florida St.
Chris Combs,DT,Duke,,5-Jun,286,5.16,,22,,,,2000,CombCh21,2000,6,173,PIT,No,DE,DE,1,23,2002,0,0,0,1,1,10,,,,,,,,,,,,4,,,Duke
