player_name,position,school,height,weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,year,player_id,draft_round,draft_pick,ht,bench_press_score,broad_jump_score,forty_yard_score,shuttle_run_score,three_cone_score,vertical_leap_score,combine_score,draft_pick_flag
Jamal Reynolds,DE,Florida State,6 ft 3 in,267.0,4.72,33.5,24.0,115.0,7.245,4.4,2001,2001REYNOLDSJAMALFLO,1.0,10.0,75,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1
Karon Riley,DE,Minnesota,6 ft 2 in,264.0,4.75,33.5,24.0,115.0,7.245,4.4,2001,2001RILEYKARONMIN,4.0,103.0,74,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1
David Rivers,QB,West. Carolina,6 ft 3 in,223.0,4.73,31.5,18.0,115.0,7.37,4.2,2001,2001RIVERSDAVIDWES,8.0,999.0,75,0.0,4.0,3.0,3.0,1.0,3.0,14.0,0
Marcellus Rivers,TE,Oklahoma State,6 ft 4 in,247.0,4.84,32.5,7.0,113.0,7.04,4.25,2001,2001RIVERSMARCELLUSOKL,8.0,999.0,76,1.0,2.0,2.0,4.0,4.0,2.0,15.0,0
Mike Roberg,TE,Idaho,6 ft 4 in,256.0,4.75,34.5,16.0,117.0,7.28,4.4,2001,2001ROBERGMIKEIDA,7.0,227.0,76,1.0,3.0,3.0,2.0,2.0,3.0,14.0,1
Bernard Robertson,OG,Tulane,6 ft 3 in,308.0,5.24,30.0,19.0,106.0,8.06,4.58,2001,2001ROBERTSONBERNARDTUL,5.0,138.0,75,1.0,4.0,3.0,4.0,2.0,4.0,18.0,1
Koren Robinson,WR,North Carolina State,6 ft 1 in,211.0,4.61,36.0,15.0,121.0,6.92,4.18,2001,2001ROBINSONKORENNOR,1.0,9.0,73,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
Kendrick Rogers,OT,Central Missouri State,6 ft 5 in,311.0,5.16,27.5,23.0,100.0,7.9350000000000005,4.79,2001,2001ROGERSKENDRICKCEN,8.0,999.0,77,2.0,0.0,3.0,0.0,0.0,0.0,5.0,0
Shaun Rogers,DT,Texas,6 ft 4 in,320.0,5.28,29.5,28.0,105.0,7.675,4.61,2001,2001ROGERSSHAUNTEX,2.0,61.0,76,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
Sage Rosenfels,QB,Iowa State,6 ft 4 in,228.0,4.74,34.0,22.0,107.0,7.07,4.29,2001,2001ROSENFELSSAGEIOW,4.0,109.0,76,0.0,2.0,3.0,3.0,3.0,4.0,15.0,1
Jace Sayler,DT,Michigan State,6 ft 5 in,294.0,5.06,31.0,29.0,105.0,7.81,4.59,2001,2001SAYLERJACEMIC,8.0,999.0,77,3.0,3.0,3.0,3.0,2.0,3.0,17.0,0
John Schlecht,DT,Minnesota,6 ft 0 in,295.0,4.95,31.5,27.0,101.0,7.45,4.3,2001,2001SCHLECHTJOHNMIN,8.0,999.0,72,2.0,2.0,4.0,4.0,4.0,4.0,20.0,0
Aaron Schobel,DE,TCU,6 ft 4 in,263.0,4.75,38.0,24.0,119.0,7.16,4.03,2001,2001SCHOBELAARONTCU,2.0,46.0,76,0.0,4.0,3.0,4.0,3.0,4.0,18.0,1
Carey Scott,CB,Kentucky State,5 ft 11 in,208.0,4.65,30.0,15.0,113.0,7.52,4.18,2001,2001SCOTTCAREYKEN,6.0,189.0,71,0.0,1.0,1.0,2.0,1.0,1.0,6.0,1
Cedric Scott,DE,Southern Miss,6 ft 6 in,281.0,4.86,35.5,23.0,107.0,7.67,4.37,2001,2001SCOTTCEDRICSOU,4.0,114.0,78,2.0,1.0,2.0,3.0,1.0,4.0,13.0,1
Anthony Sessions,OLB,Tennessee,6 ft 0 in,228.0,4.8,34.0,19.0,115.0,7.165,4.31,2001,2001SESSIONSANTHONYTEN,8.0,999.0,72,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0
Roland Seymour,DE,Florida State,6 ft 3 in,250.0,4.75,32.0,23.0,112.0,7.46,4.47,2001,2001SEYMOURROLANDFLO,8.0,999.0,75,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0
Richard Seymour,DT,Georgia,6 ft 6 in,299.0,4.95,29.5,28.0,105.0,7.675,4.61,2001,2001SEYMOURRICHARDGEO,1.0,6.0,78,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1
Marcel Shipp,RB,Massachusetts,5 ft 11 in,222.0,4.71,32.5,18.0,115.0,7.09,4.27,2001,2001SHIPPMARCELMAS,8.0,999.0,71,2.0,2.0,1.0,0.0,0.0,2.0,7.0,0
Elliot Silvers,OT,Washington,6 ft 7 in,348.0,5.43,31.5,19.0,99.0,7.81,4.66,2001,2001SILVERSELLIOTWAS,5.0,132.0,79,1.0,2.0,1.0,3.0,3.0,4.0,14.0,1
Rickie Simpkins,DT,Syracuse,6 ft 3 in,287.0,5.28,29.5,27.0,97.0,7.65,4.52,2001,2001SIMPKINSRICKIESYR,8.0,999.0,75,0.0,1.0,1.0,4.0,3.0,3.0,12.0,0
Dwight Smith,CB,Akron,5 ft 10 in,212.0,4.51,33.5,15.0,114.0,6.9,4.14,2001,2001SMITHDWIGHTAKR,3.0,84.0,70,3.0,1.0,2.0,0.0,0.0,1.0,7.0,1
Justin Smith,DE,Missouri,6 ft 4 in,267.0,4.64,34.0,26.0,117.0,7.245,4.4,2001,2001SMITHJUSTINMIS,1.0,4.0,76,3.0,3.0,4.0,0.0,0.0,3.0,13.0,1
Kenny Smith,DT,Alabama,6 ft 3 in,299.0,5.24,30.0,28.0,100.0,8.0,4.8,2001,2001SMITHKENNYALA,3.0,81.0,75,0.0,1.0,1.0,1.0,1.0,3.0,7.0,1
Omar Smith,OG,Kentucky,6 ft 2 in,293.0,5.33,30.0,21.0,98.0,8.07,4.84,2001,2001SMITHOMARKEN,8.0,999.0,74,1.0,2.0,2.0,0.0,0.0,4.0,9.0,0
Steve Smith,WR,Utah,5 ft 9 in,184.0,4.41,38.5,15.0,121.0,7.44,4.25,2001,2001SMITHSTEVEUTA,3.0,74.0,69,0.0,3.0,4.0,2.0,1.0,4.0,14.0,1
Fred Smoot,CB,Mississippi State,5 ft 11 in,172.0,4.48,36.0,15.0,122.0,6.9,4.14,2001,2001SMOOTFREDMIS,2.0,45.0,71,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1
Brandon Spoon,ILB,North Carolina,6 ft 2 in,245.0,4.75,35.5,33.0,110.0,7.3,4.15,2001,2001SPOONBRANDONNOR,4.0,110.0,74,4.0,1.0,3.0,4.0,2.0,4.0,18.0,1
Markus Steele,OLB,USC,6 ft 3 in,232.0,4.62,33.0,23.0,119.0,7.15,4.5,2001,2001STEELEMARKUSUSC,4.0,122.0,75,0.0,3.0,3.0,1.0,2.0,2.0,11.0,1
Russell Stewart,TE,Stanford,6 ft 4 in,251.0,4.92,28.5,17.0,106.0,7.46,4.3,2001,2001STEWARTRUSSELLSTA,8.0,999.0,76,1.0,1.0,1.0,3.0,1.0,1.0,8.0,0
Daleroy Stewart,DT,Southern Miss,6 ft 3 in,309.0,4.9,33.0,28.0,110.0,7.75,4.72,2001,2001STEWARTDALEROYSOU,6.0,171.0,75,0.0,4.0,4.0,2.0,2.0,4.0,16.0,1
Tony Stewart,TE,Penn State,6 ft 5 in,256.0,4.96,35.5,21.0,109.0,7.3,4.4,2001,2001STEWARTTONYPEN,5.0,147.0,77,0.0,1.0,1.0,2.0,2.0,4.0,10.0,1
Michael Stone,CB,Memphis,5 ft 11 in,191.0,4.51,41.0,17.0,127.0,6.9,4.14,2001,2001STONEMICHAELMEM,2.0,54.0,71,4.0,4.0,2.0,0.0,0.0,4.0,14.0,1
Marcus Stroud,DT,Georgia,6 ft 6 in,321.0,5.13,30.0,21.0,110.0,8.07,4.72,2001,2001STROUDMARCUSGEO,1.0,13.0,78,1.0,4.0,2.0,2.0,1.0,3.0,13.0,1
Tim Stuber,OG,Colorado State,6 ft 5 in,315.0,5.6,28.0,22.0,96.0,8.06,4.75,2001,2001STUBERTIMCOL,8.0,999.0,77,2.0,2.0,1.0,3.0,2.0,3.0,13.0,0
Alex Sulfsted,OG,Miami (OH),6 ft 4 in,312.0,5.3,30.5,26.0,96.0,7.825,4.72,2001,2001SULFSTEDALEXMIA,6.0,176.0,76,0.0,2.0,3.0,0.0,0.0,4.0,9.0,1
Marques Sullivan,OT,Illinois,6 ft 5 in,338.0,5.32,30.5,28.0,98.0,8.36,4.8,2001,2001SULLIVANMARQUESILL,5.0,144.0,77,4.0,2.0,2.0,2.0,1.0,4.0,15.0,1
Vinny Sutherland,WR,Purdue,5 ft 9 in,192.0,4.48,36.0,15.0,121.0,6.92,4.18,2001,2001SUTHERLANDVINNYPUR,5.0,136.0,69,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1
Joe Tafoya,DE,Arizona,6 ft 4 in,269.0,4.91,33.0,28.0,111.0,7.65,4.4,2001,2001TAFOYAJOEARI,7.0,234.0,76,4.0,2.0,2.0,3.0,1.0,3.0,15.0,1
Chris Taylor,WR,Texas A&M,5 ft 11 in,183.0,4.4,35.5,15.0,115.0,6.81,3.93,2001,2001TAYLORCHRISTEX,7.0,218.0,71,0.0,1.0,4.0,4.0,4.0,3.0,16.0,1
David Terrell,WR,Michigan,6 ft 3 in,213.0,4.43,36.0,15.0,121.0,6.92,4.18,2001,2001TERRELLDAVIDMIC,1.0,8.0,75,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1
Clevan Thomas,CB,Florida State,5 ft 9 in,189.0,4.64,36.0,14.0,118.0,7.42,4.24,2001,2001THOMASCLEVANFLO,8.0,999.0,69,0.0,2.0,1.0,2.0,1.0,3.0,9.0,0
Tarlos Thomas,OT,Florida State,6 ft 5 in,336.0,5.52,25.0,19.0,92.0,8.6,4.9,2001,2001THOMASTARLOSFLO,8.0,999.0,77,1.0,1.0,1.0,1.0,1.0,1.0,6.0,0
Anthony Thomas,RB,Michigan,6 ft 2 in,229.0,4.58,32.5,20.0,115.0,7.48,4.44,2001,2001THOMASANTHONYMIC,2.0,38.0,74,3.0,2.0,2.0,1.0,1.0,2.0,11.0,1
LaDainian Tomlinson,RB,TCU,5 ft 10 in,221.0,4.46,40.5,18.0,124.0,6.84,4.21,2001,2001TOMLINSONLADAINIANTCU,1.0,5.0,70,2.0,4.0,4.0,3.0,4.0,4.0,21.0,1
Ja'Mar Toombs,FB,Texas A&M,6 ft 0 in,281.0,4.72,32.5,17.0,113.0,7.3149999999999995,4.41,2001,2001TOOMBSJA'MARTEX,8.0,999.0,72,1.0,0.0,3.0,0.0,0.0,0.0,4.0,0
Paul Toviessi,DE,Marshall,6 ft 6 in,260.0,4.78,33.5,24.0,120.0,7.06,4.32,2001,2001TOVIESSIPAULMAR,2.0,51.0,78,0.0,4.0,3.0,3.0,4.0,3.0,17.0,1
Albert Traylor,OG,NW State (LA),6 ft 3 in,307.0,5.42,27.0,20.0,96.0,8.34,4.84,2001,2001TRAYLORALBERTNW ,8.0,999.0,75,1.0,2.0,2.0,0.0,1.0,2.0,8.0,0
Marques Tuiasosopo,QB,Washington,6 ft 1 in,223.0,4.71,35.5,22.0,115.0,7.36,4.35,2001,2001TUIASOSOPOMARQUESWAS,2.0,59.0,73,0.0,4.0,4.0,2.0,1.0,4.0,15.0,1
T.J. Turner,ILB,Michigan State,6 ft 3 in,273.0,4.8,34.0,23.0,115.0,7.17,4.27,2001,2001TURNERT.J.MIC,7.0,239.0,75,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1
Chris Valletta,OG,Texas A&M,6 ft 3 in,299.0,5.32,33.5,18.0,98.0,7.9,4.53,2001,2001VALLETTACHRISTEX,8.0,999.0,75,1.0,2.0,2.0,4.0,3.0,4.0,16.0,0
Patrick Venzke,OT,Idaho,6 ft 6 in,303.0,5.28,34.0,23.0,103.0,8.08,4.59,2001,2001VENZKEPATRICKIDA,8.0,999.0,78,0.0,3.0,2.0,4.0,1.0,4.0,14.0,0
Michael Vick,QB,Virginia Tech,6 ft 0 in,210.0,4.33,31.5,22.0,110.0,7.12,4.28,2001,2001VICKMICHAELVIR,1.0,1.0,72,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1
Keydrick Vincent,OG,Mississippi,6 ft 5 in,328.0,5.61,32.5,23.0,94.0,8.07,4.84,2001,2001VINCENTKEYDRICKMIS,8.0,999.0,77,2.0,1.0,1.0,0.0,0.0,4.0,8.0,0
Fred Wakefield,DE,Illinois,6 ft 7 in,287.0,5.09,29.0,26.0,108.0,7.49,4.64,2001,2001WAKEFIELDFREDILL,8.0,999.0,79,3.0,1.0,1.0,1.0,2.0,1.0,9.0,0
Kenyatta Walker,OT,Florida,6 ft 5 in,311.0,5.17,31.5,24.0,109.0,7.7,4.6,2001,2001WALKERKENYATTAFLO,1.0,14.0,77,3.0,4.0,3.0,4.0,3.0,4.0,21.0,1
Raymond Walls,CB,Southern Miss,5 ft 11 in,176.0,4.51,39.0,15.0,124.0,6.9,4.18,2001,2001WALLSRAYMONDSOU,5.0,152.0,71,0.0,3.0,2.0,2.0,0.0,4.0,11.0,1
Chad Ward,OG,Washington,6 ft 4 in,321.0,5.23,32.5,26.0,99.0,7.98,4.9,2001,2001WARDCHADWAS,6.0,170.0,76,3.0,2.0,3.0,2.0,2.0,4.0,16.0,1
David Warren,DE,Florida State,6 ft 2 in,253.0,4.73,32.0,21.0,112.0,7.53,4.46,2001,2001WARRENDAVIDFLO,8.0,999.0,74,2.0,0.0,4.0,2.0,1.0,0.0,9.0,0
Gerard Warren,DT,Florida,6 ft 4 in,325.0,5.0,29.5,28.0,105.0,7.675,4.61,2001,2001WARRENGERARDFLO,1.0,3.0,76,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1
Reggie Wayne,WR,Miami (FL),6 ft 0 in,198.0,4.45,36.0,15.0,121.0,6.92,4.18,2001,2001WAYNEREGGIEMIA,1.0,30.0,72,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1
Chris Weinke,QB,Florida State,6 ft 4 in,226.0,5.2,31.5,22.0,110.0,7.12,4.28,2001,2001WEINKECHRISFLO,4.0,106.0,76,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
Eric Westmoreland,OLB,Tennessee,6 ft 0 in,236.0,4.63,36.5,21.0,115.0,7.47,4.21,2001,2001WESTMORELANDERICTEN,3.0,73.0,72,2.0,2.0,3.0,3.0,1.0,3.0,14.0,1
Emile White,S,Houston,6 ft 0 in,219.0,4.68,34.5,16.0,111.0,7.26,4.21,2001,2001WHITEEMILEHOU,8.0,999.0,72,2.0,1.0,1.0,0.0,1.0,2.0,7.0,0
Reggie White,RB,Oklahoma State,6 ft 0 in,228.0,4.58,37.5,17.0,114.0,7.48,4.4,2001,2001WHITEREGGIEOKL,8.0,999.0,72,2.0,2.0,2.0,1.0,1.0,4.0,12.0,0
James Whitley,CB,Michigan,5 ft 10 in,193.0,4.73,39.0,9.0,118.0,7.04,4.4,2001,2001WHITLEYJAMESMIC,8.0,999.0,70,1.0,2.0,1.0,1.0,2.0,4.0,11.0,0
Boo Williams,TE,Arkansas,6 ft 4 in,237.0,4.72,35.5,19.5,119.0,7.1,4.33,2001,2001WILLIAMSBOOARK,8.0,999.0,76,0.0,4.0,3.0,3.0,3.0,4.0,17.0,0
Brock Williams,CB,Notre Dame,5 ft 10 in,183.0,4.46,42.5,11.0,130.0,6.7,4.21,2001,2001WILLIAMSBROCKNOT,3.0,86.0,70,1.0,4.0,3.0,2.0,4.0,4.0,18.0,1
Jimmy Williams,CB,Vanderbilt,5 ft 10 in,188.0,4.58,36.0,15.0,120.0,7.12,4.14,2001,2001WILLIAMSJIMMYVAN,6.0,196.0,70,0.0,2.0,1.0,0.0,1.0,3.0,7.0,1
Louis Williams,OG,LSU,6 ft 4 in,299.0,5.48,28.5,25.0,103.0,7.86,4.67,2001,2001WILLIAMSLOUISLSU,7.0,211.0,76,3.0,3.0,1.0,3.0,3.0,3.0,16.0,1
Marcus Williams,WR,Washington State,6 ft 5 in,230.0,4.56,41.0,14.0,130.0,7.37,4.2,2001,2001WILLIAMSMARCUSWAS,8.0,999.0,77,0.0,4.0,2.0,3.0,1.0,4.0,14.0,0
Maurice Williams,OT,Michigan,6 ft 5 in,304.0,5.2,28.5,24.0,102.0,7.8,4.71,2001,2001WILLIAMSMAURICEMIC,2.0,43.0,77,3.0,0.0,3.0,0.0,0.0,0.0,6.0,1
Cedrick Wilson,WR,Tennessee,5 ft 10 in,179.0,4.48,38.0,15.0,123.0,6.92,4.18,2001,2001WILSONCEDRICKTEN,6.0,169.0,70,0.0,4.0,3.0,0.0,0.0,4.0,11.0,1
Jamie Winborn,ILB,Vanderbilt,5 ft 11 in,229.0,4.63,35.5,23.0,111.0,7.17,4.27,2001,2001WINBORNJAMIEVAN,2.0,47.0,71,0.0,2.0,4.0,0.0,0.0,4.0,10.0,1
Brandon Winey,OT,LSU,6 ft 6 in,301.0,5.3,28.5,25.0,102.0,7.8,4.71,2001,2001WINEYBRANDONLSU,6.0,164.0,78,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1
Pork Chop Womack,OG,Mississippi State,6 ft 4 in,345.0,5.51,29.5,23.0,97.0,8.78,4.96,2001,2001CHOPPORKMIS,8.0,999.0,76,2.0,2.0,1.0,1.0,1.0,4.0,11.0,0
Shawn Worthen,DT,TCU,6 ft 1 in,310.0,5.18,30.0,23.0,103.0,7.5,4.61,2001,2001WORTHENSHAWNTCU,4.0,130.0,73,1.0,2.0,2.0,3.0,3.0,3.0,14.0,1
Ellis Wyms,DE,Mississippi State,6 ft 3 in,285.0,4.97,28.0,24.0,103.0,7.71,4.47,2001,2001WYMSELLISMIS,6.0,183.0,75,0.0,1.0,1.0,2.0,1.0,1.0,6.0,1
Paul Zukauskas,OG,Boston Col.,6 ft 5 in,307.0,5.3,28.0,22.0,101.0,7.825,4.72,2001,2001ZUKAUSKASPAULBOS,7.0,203.0,77,2.0,0.0,3.0,0.0,0.0,0.0,5.0,1
Jonathan Adams,RB,Arkansas State,6 ft 0 in,219.0,4.58,36.5,15.0,120.0,6.97,4.31,2002,2002ADAMSJONATHANARK,8.0,999.0,72,1.0,3.0,2.0,2.0,3.0,4.0,15.0,0
P.J. Alexander,OG,Syracuse,6 ft 4 in,299.0,5.38,29.5,23.0,102.0,7.9,4.73,2002,2002ALEXANDERP.J.SYR,8.0,999.0,76,0.0,3.0,2.0,3.0,3.0,4.0,15.0,0
Jeremy Allen,FB,Iowa,6 ft 0 in,241.0,4.59,38.0,17.0,126.0,7.06,4.49,2002,2002ALLENJEREMYIOW,8.0,999.0,72,1.0,4.0,4.0,2.0,4.0,4.0,19.0,0
Brian Allen,RB,Stanford,5 ft 9 in,209.0,4.46,33.0,19.0,112.0,6.9,4.08,2002,2002ALLENBRIANSTA,6.0,204.0,69,3.0,1.0,4.0,4.0,4.0,2.0,18.0,1
James Allen,OLB,Oregon State,6 ft 3 in,240.0,4.62,38.0,24.0,126.0,7.59,4.21,2002,2002ALLENJAMESORE,3.0,82.0,75,3.0,4.0,3.0,3.0,1.0,4.0,18.0,1
Matt Anderle,OT,Minnesota,6 ft 6 in,327.0,5.5,29.0,26.0,104.0,7.99,4.8,2002,2002ANDERLEMATTMIN,6.0,178.0,78,3.0,3.0,1.0,2.0,2.0,3.0,14.0,1
Damien Anderson,RB,Northwestern,5 ft 10 in,211.0,4.56,33.5,27.0,112.0,6.93,4.02,2002,2002ANDERSONDAMIENNOR,8.0,999.0,70,4.0,1.0,3.0,4.0,3.0,2.0,17.0,0
Marques Anderson,S,UCLA,5 ft 11 in,213.0,4.5,39.5,18.0,127.0,6.96,4.17,2002,2002ANDERSONMARQUESUCL,3.0,92.0,71,3.0,4.0,4.0,0.0,0.0,4.0,15.0,1
Mark Anelli,TE,Wisconsin,6 ft 4 in,262.0,4.8,33.5,18.0,115.0,7.12,4.34,2002,2002ANELLIMARKWIS,6.0,201.0,76,2.0,0.0,2.0,0.0,0.0,0.0,4.0,1
Akin Ayodele,OLB,Purdue,6 ft 2 in,257.0,4.81,35.0,26.0,121.0,7.0,4.12,2002,2002AYODELEAKINPUR,3.0,89.0,74,4.0,4.0,1.0,4.0,3.0,3.0,19.0,1
Chris Baker,TE,Michigan State,6 ft 3 in,258.0,4.81,35.0,18.0,112.0,6.95,4.34,2002,2002BAKERCHRISMIC,3.0,88.0,75,2.0,2.0,2.0,0.0,4.0,4.0,14.0,1
Jason Ball,C,New Hampshire,6 ft 2 in,301.0,5.41,29.0,27.0,94.0,7.87,4.73,2002,2002BALLJASONNEW,8.0,999.0,74,3.0,1.0,1.0,1.0,2.0,3.0,11.0,0
Clenton Ballard,DT,Texas State,6 ft 2 in,313.0,5.18,26.5,24.0,93.0,7.47,4.64,2002,2002BALLARDCLENTONTEX,6.0,180.0,74,1.0,1.0,2.0,3.0,4.0,1.0,12.0,1
Mike Banks,TE,Iowa State,6 ft 4 in,260.0,4.84,31.5,21.0,104.0,7.12,4.34,2002,2002BANKSMIKEIOW,7.0,223.0,76,0.0,1.0,2.0,0.0,0.0,2.0,5.0,1
Justin Bannan,DT,Colorado,6 ft 3 in,300.0,5.0,29.0,24.0,99.0,7.31,4.24,2002,2002BANNANJUSTINCOL,5.0,139.0,75,1.0,1.0,3.0,4.0,4.0,2.0,15.0,1
Kevin Barry,OG,Arizona,6 ft 4 in,325.0,5.34,28.5,24.0,108.0,8.34,4.73,2002,2002BARRYKEVINARI,8.0,999.0,76,2.0,4.0,2.0,3.0,1.0,3.0,15.0,0
Will Bartholomew,FB,Tennessee,6 ft 0 in,246.0,4.68,38.0,35.0,119.0,6.85,4.09,2002,2002BARTHOLOMEWWILLTEN,8.0,999.0,72,4.0,4.0,3.0,4.0,4.0,4.0,23.0,0
Rashad Bauman,CB,Oregon,5 ft 8 in,186.0,4.44,39.0,10.0,118.0,6.9,4.14,2002,2002BAUMANRASHADORE,3.0,79.0,68,1.0,2.0,3.0,0.0,0.0,4.0,10.0,1
Jarrod Baxter,FB,New Mexico,6 ft 1 in,245.0,4.7,32.5,23.0,116.0,7.1,4.27,2002,2002BAXTERJARRODNEW,5.0,136.0,73,3.0,3.0,3.0,4.0,4.0,3.0,20.0,1
Chad Beasley,DT,Virginia Tech,6 ft 5 in,303.0,5.15,31.5,27.0,104.0,7.75,4.6,2002,2002BEASLEYCHADVIR,7.0,218.0,77,2.0,2.0,2.0,3.0,2.0,4.0,15.0,1
Atrews Bell,WR,Florida State,5 ft 11 in,218.0,4.52,35.0,14.0,119.0,7.03,4.23,2002,2002BELLATREWSFLO,8.0,999.0,71,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0
Kevin Bentley,OLB,Northwestern,6 ft 0 in,243.0,4.68,39.0,23.0,120.0,6.71,3.83,2002,2002BENTLEYKEVINNOR,4.0,101.0,72,3.0,3.0,2.0,4.0,4.0,4.0,20.0,1
LeCharles Bentley,C,Ohio State,6 ft 2 in,299.0,5.19,25.5,27.0,103.0,7.85,4.54,2002,2002BENTLEYLECHARLESOHI,2.0,44.0,74,0.0,3.0,3.0,3.0,2.0,1.0,12.0,1
Rocky Bernard,DT,Texas A&M,6 ft 3 in,294.0,4.96,33.0,30.0,108.0,7.43,4.41,2002,2002BERNARDROCKYTEX,5.0,146.0,75,3.0,3.0,4.0,4.0,4.0,4.0,22.0,1
Ladell Betts,RB,Iowa,5 ft 10 in,220.0,4.62,38.0,23.0,116.0,7.06,4.06,2002,2002BETTSLADELLIOW,2.0,56.0,70,4.0,2.0,2.0,4.0,3.0,4.0,19.0,1
Martin Bibla,OG,Miami (FL),6 ft 3 in,306.0,5.08,28.0,35.0,101.0,7.825,4.72,2002,2002BIBLAMARTINMIA,4.0,116.0,75,4.0,0.0,4.0,0.0,0.0,0.0,8.0,1
Terreal Bierria,S,Georgia,6 ft 3 in,216.0,4.61,36.0,18.0,130.0,6.93,4.1,2002,2002BIERRIATERREALGEO,4.0,120.0,75,3.0,4.0,2.0,4.0,3.0,3.0,19.0,1
Dwayne Blakley,TE,Missouri,6 ft 5 in,256.0,4.96,32.5,21.0,107.0,7.33,4.29,2002,2002BLAKLEYDWAYNEMIS,8.0,999.0,77,3.0,1.0,1.0,3.0,2.0,2.0,12.0,0
Rocky Boiman,OLB,Notre Dame,6 ft 4 in,242.0,4.6,35.0,17.0,122.0,6.86,4.05,2002,2002BOIMANROCKYNOT,4.0,133.0,76,1.0,4.0,4.0,4.0,4.0,3.0,20.0,1
Bruce Branch,CB,Penn State,5 ft 10 in,192.0,4.53,35.0,14.0,119.0,7.12,4.47,2002,2002BRANCHBRUCEPEN,8.0,999.0,70,0.0,2.0,2.0,1.0,1.0,2.0,8.0,0
Deion Branch,WR,Louisville,5 ft 9 in,191.0,4.47,36.0,15.0,117.0,6.71,3.78,2002,2002BRANCHDEIONLOU,2.0,65.0,69,0.0,2.0,3.0,4.0,4.0,3.0,16.0,1
Sam Brandon,S,UNLV,6 ft 2 in,199.0,4.66,36.5,17.0,127.0,6.96,4.17,2002,2002BRANDONSAMUNL,4.0,131.0,74,0.0,4.0,1.0,0.0,0.0,3.0,8.0,1
Jack Brewer,S,Minnesota,6 ft 0 in,194.0,4.59,37.0,12.0,122.0,6.9,4.24,2002,2002BREWERJACKMIN,8.0,999.0,72,1.0,3.0,2.0,2.0,3.0,3.0,14.0,0
Raheem Brock,DE,Temple,6 ft 4 in,257.0,4.93,34.0,25.0,115.0,7.09,4.23,2002,2002BROCKRAHEEMTEM,7.0,238.0,76,3.0,3.0,1.0,4.0,4.0,3.0,18.0,1
Alex Brown,DE,Florida,6 ft 3 in,260.0,4.74,33.5,24.0,115.0,7.245,4.4,2002,2002BROWNALEXFLO,4.0,104.0,75,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1
Sheldon Brown,CB,South Carolina,5 ft 10 in,196.0,4.47,36.5,15.0,120.0,7.0,4.24,2002,2002BROWNSHELDONSOU,2.0,59.0,70,3.0,2.0,3.0,2.0,2.0,3.0,15.0,1
Antonio Bryant,WR,Pittsburgh,6 ft 1 in,188.0,4.57,37.0,15.0,121.0,6.92,4.18,2002,2002BRYANTANTONIOPIT,2.0,63.0,73,0.0,3.0,2.0,0.0,0.0,3.0,8.0,1
Wendell Bryant,DT,Wisconsin,6 ft 4 in,308.0,4.91,29.5,28.0,105.0,7.675,4.61,2002,2002BRYANTWENDELLWIS,1.0,12.0,76,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1
Phillip Buchanon,CB,Miami (FL),5 ft 10 in,186.0,4.31,36.0,15.0,122.0,6.9,4.14,2002,2002BUCHANONPHILLIPMIA,1.0,17.0,70,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1
Courtland Bullard,OLB,Ohio State,6 ft 3 in,234.0,4.69,36.5,23.0,123.0,6.99,4.28,2002,2002BULLARDCOURTLANDOHI,5.0,167.0,75,0.0,4.0,2.0,3.0,4.0,3.0,16.0,1
Joe Burns,RB,Georgia Tech,5 ft 9 in,213.0,4.81,31.0,21.0,105.0,7.09,4.27,2002,2002BURNSJOEGEO,8.0,999.0,69,3.0,1.0,1.0,0.0,0.0,1.0,6.0,0
Jamie Burrow,ILB,Nebraska,6 ft 1 in,249.0,4.83,30.5,18.0,102.0,7.28,4.21,2002,2002BURROWJAMIENEB,8.0,999.0,73,1.0,1.0,2.0,3.0,2.0,1.0,10.0,0
Reche Caldwell,WR,Florida,6 ft 0 in,194.0,4.53,41.5,15.0,130.0,7.0,4.1,2002,2002CALDWELLRECHEFLO,2.0,48.0,72,0.0,4.0,2.0,4.0,2.0,4.0,16.0,1
Rocky Calmus,OLB,Oklahoma,6 ft 3 in,243.0,4.69,34.5,16.0,118.0,7.09,4.28,2002,2002CALMUSROCKYOKL,3.0,77.0,75,1.0,0.0,2.0,0.0,0.0,0.0,3.0,1
