player_name,position,school,height,weight,forty_yard,vertical_leap,bench_press,broad_jump,three_cone,shuttle_run,year,player_id,draft_round,draft_pick,ht,bench_press_score,broad_jump_score,forty_yard_score,shuttle_run_score,three_cone_score,vertical_leap_score,combine_score,draft_pick_flag
Courtney Brown,DE,Penn State,6 ft 5 in,269.0,4.78,33.5,24.0,115.0,7.245,4.4,2000,2000BROWNCOURTNEYPEN,1.0,1.0,77,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1
Mike Brown,S,Nebraska,5 ft 10 in,204.0,4.59,36.0,14.0,116.0,6.93,4.01,2000,2000BROWNMIKENEB,2.0,39.0,70,2.0,2.0,2.0,4.0,3.0,3.0,16.0,1
Ralph Brown,CB,Nebraska,5 ft 10 in,185.0,4.55,36.0,10.0,122.0,6.9,4.14,2000,2000BROWNRALPHNEB,5.0,140.0,70,1.0,0.0,2.0,0.0,0.0,0.0,3.0,1
Travis Brown,QB,Northern Arizona,6 ft 3 in,218.0,5.01,29.0,18.0,101.0,7.54,4.87,2000,2000BROWNTRAVISNOR,8.0,999.0,75,0.0,1.0,1.0,1.0,1.0,2.0,6.0,0
Lamont Bryant,DE,Notre Dame,6 ft 3 in,260.0,4.91,32.0,17.0,112.0,7.46,4.47,2000,2000BRYANTLAMONTNOT,8.0,999.0,75,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0
Marc Bulger,QB,West Virginia,6 ft 2 in,208.0,4.97,31.5,22.0,100.0,7.46,4.34,2000,2000BULGERMARCWES,6.0,168.0,74,0.0,1.0,1.0,2.0,1.0,0.0,5.0,1
Keith Bulluck,OLB,Syracuse,6 ft 3 in,244.0,4.47,38.0,23.0,119.0,7.33,4.13,2000,2000BULLUCKKEITHSYR,1.0,30.0,75,0.0,3.0,4.0,4.0,1.0,4.0,16.0,1
Bill Burke,QB,Michigan State,6 ft 4 in,206.0,5.03,28.5,18.0,107.0,7.46,4.42,2000,2000BURKEBILLMIC,8.0,999.0,76,0.0,2.0,1.0,2.0,1.0,1.0,7.0,0
Plaxico Burress,WR,Michigan State,6 ft 5 in,231.0,4.59,33.0,15.0,115.0,6.92,4.18,2000,2000BURRESSPLAXICOMIC,1.0,8.0,77,0.0,1.0,1.0,0.0,0.0,1.0,3.0,1
David Byrd,CB,Syracuse,5 ft 11 in,202.0,4.53,36.0,14.0,117.0,7.18,4.39,2000,2000BYRDDAVIDSYR,8.0,999.0,71,2.0,1.0,2.0,1.0,1.0,3.0,10.0,0
Trung Canidate,RB,Arizona,5 ft 11 in,193.0,4.41,35.0,18.0,119.0,7.0,4.2,2000,2000CANIDATETRUNGARI,1.0,31.0,71,2.0,0.0,4.0,0.0,0.0,0.0,6.0,1
Cooper Carlisle,OG,Florida,6 ft 5 in,297.0,5.16,31.0,28.0,100.0,7.82,4.48,2000,2000CARLISLECOOPERFLO,4.0,112.0,77,3.0,3.0,4.0,4.0,3.0,4.0,21.0,1
